nome,telefone,endereco,site,nicho,area,data_extração
A-Z LOG Fretes Mudanças e Transportes Especiais,5548999065111,"R. Padre Luiz Zuber, 55 - Capoeiras, Florianópolis - SC, 88000-000, Brazil",https://www.facebook.com/profile.php?id=100082536806974,transportadora,Florianópolis,2025-05-22 13:28:49
TVR Transportes,554830355414,"Condomínio CICOBI - R. Edgard Hoffmann, 39 - e 69 - Beira Rio, Biguaçu - SC, 88164-275, Brazil",http://www.tvrtransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:50
Canasvieiras Transportes Ltda,554832662147,"Rod. Francisco Germano da Costa, 2970 - Canasvieiras, Florianópolis - SC, 88052-760, Brazil",http://www.canasvieirastc.com.br/,transportadora,Florianópolis,2025-05-22 13:28:50
BASE FLORIPA TRANSPORTES,554830256033,"R. Heriberto Hulse, 4983 - galpão 12 - Serraria, São José - SC, 88115-000, Brazil",https://basefloripa.com.br/,transportadora,Florianópolis,2025-05-22 13:28:51
Aceville Transportes Florianópolis,554832469635,"SC-281, 2951 - GALPÃO 01 - Sertão do Maruim, São José - SC, 88122-001, Brazil",https://www.aceville.com.br/,transportadora,Florianópolis,2025-05-22 13:28:51
Cordeiro transportes (Interestaduais),5548996427236,"Av. das Rendeiras, 636 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",http://cordeirotransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:52
Frete floripa cia.costa transporte em geral,5548999472015,"Av. das Rendeiras, 1134 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:52
Floripa Encomendas,554832070551,"R. Joaquim Carneiro, 135 - Sala 02 - Capoeiras, Florianópolis - SC, 88085-120, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:52
Mudanças & Transportes Giva,5548999079840,"Servidão Antônio Irineu da Silva, 300 - Córrego Grande, Florianópolis - SC, 88037-600, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:53
Azul Cargo,5548988010325,"Av. Dep. Diomício Freitas, 3393 - Carianos, Florianópolis - SC, 88047-400, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:53
TESLLA LOGISTICA,551123893028,"R. Osaka, 1143/1145 - Jardim Japao, São Paulo - SP, 02124-041, Brazil",https://www.tesllatransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:54
frete florianopolis,5548984616747,"R. São Vicente de Paula, 560 - Agronômica, Florianópolis - SC, 88025-330, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:54
Granero Transportes - Florianópolis -SC,554832580975,"R. Padre Raulino Reitz, 213 - Areias, São José - SC, 88113-120, Brazil",https://www.granero.com.br/unidade?f=23d46886-44c7-4bba-8c8d-75f6300be950,transportadora,Florianópolis,2025-05-22 13:28:55
Exclusiva Cargas,551140034735,"Rua Carmina Ianetta Fanganiello, 177 - Parque Novo Mundo, São Paulo - SP, 02181-100, Brazil",http://www.excargas.com.br/,transportadora,Florianópolis,2025-05-22 13:28:55
Fretes Florianópolis,5548984131366,"Rod. Amaro Antônio Viêira, n:1973 - Itacorubi, Florianópolis - SC, 88034-102, Brazil",https://instagram.com/fretes_florianopolis?igshid=YmMyMTA2M2Y=,transportadora,Florianópolis,2025-05-22 13:28:56
Schmitt Fretes e Mudanças – Atendemos Grande Florianópolis e Viagens,5548984136384,"R. Palmira Laura Florêncio, 2452 - Real Parque, São José - SC, 88113-320, Brazil",https://api.whatsapp.com/send?phone=5548984136384&text=Ol%C3%A1!%20Encontrei%20voc%C3%AAs%20no%20Google%20gostaria%20de%20mais%20informa%C3%A7%C3%B5es.,transportadora,Florianópolis,2025-05-22 13:28:56
solution log transportes,554833445820,"R. Ventos do Moçambique, 115 - Brejaru, Florianópolis - SC, 88060, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:57
Frete fracionado e exclusivo | DIH TRANSPORTES,551140031347,"Centro Histórico de São Paulo - R. Sd. Romeu Coco, 109 - Parque Novo Mundo, São Paulo - SP, 02186-090, Brazil",http://dihtransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:57
Express Joinville Transportes Ltda,5547996185030,"R. Dona Francisca, 8300 - Zona Industrial Norte, Joinville - SC, 89219-600, Brazil",http://www.joinvillecargas.com.br/,transportadora,Joinville,2025-05-22 13:29:00
Transjoi Transport Operations,554740095600,"R. Anaburgo, 6708 - Distrito Industrial, Joinville - SC, 89219-630, Brazil",https://www.transjoi.com.br/,transportadora,Joinville,2025-05-22 13:29:01
Transport Transligue - Joinville branch / SC,554730862800,"Cond. Perini Business Park| - R. Dona Francisca, 8300 - Bloco G, Módulo 05 - Distrito Industrial, Joinville - SC, 89219-600, Brazil",http://www.transligue.com.br/,transportadora,Joinville,2025-05-22 13:29:01
Transportes e Serviços Super Já,554734662042,"R. Augusto Schlegel, 83 - Atiradores, Joinville - SC, 89203-260, Brazil",,transportadora,Joinville,2025-05-22 13:29:01
Coopercargo - Soluções Logísticas,554721051800,"Av. Mississípi, 371 - Zona Industrial Norte, Joinville - SC, 89219-507, Brazil",http://www.coopercargo.com.br/,transportadora,Joinville,2025-05-22 13:29:02
Transoliveira Transportadora,554734736847,"R. dos Portugueses, 1588 - Vila Nova, Joinville - SC, 89237-780, Brazil",,transportadora,Joinville,2025-05-22 13:29:02
Transville Transportes e Serviços - Joinville,554734618888,"R. Guilherme, 1392 - Costa e Silva, Joinville - SC, 89218-500, Brazil",http://www.transville.com.br/,transportadora,Joinville,2025-05-22 13:29:03
Transport company Atlas & Expresso Jundiaí,554721051400,"Av. Plácido Hugo de Oliveira, 2398 - Profipo, Joinville - SC, 89233, Brazil",,transportadora,Joinville,2025-05-22 13:29:03
Aceville Transportes,554731307350,"R. Miguel Ângelo, 113 - São Marcos, Joinville - SC, 89237-007, Brazil",http://www.aceville.com.br/,transportadora,Joinville,2025-05-22 13:29:04
Godi Transportes,5547997230205,"R. Adriano Schondermank, 673 - Costa e Silva, Joinville - SC, 89217-400, Brazil",http://goditransportes.com.br/,transportadora,Joinville,2025-05-22 13:29:04
Transportadora Minuano,554734635110,"R. Leopoldo Koentopp, 150 - São Marcos, Joinville - SC, 89214-180, Brazil",http://www.transminuano.com.br/,transportadora,Joinville,2025-05-22 13:29:05
Cameony Transportes,554734241766,"R. Othon Mader, 375 - Nova Brasília, Joinville - SC, 89213-180, Brazil",,transportadora,Joinville,2025-05-22 13:29:05
MANCHESTER Logística Integrada LTDA,554721058999,"R. Pref. Helmuth Fallgatter, 1593 - Boa Vista, Joinville - SC, 89206-100, Brazil",http://www.manchesterlog.com.br/,transportadora,Joinville,2025-05-22 13:29:06
Latin Auto Transport and Logistics,554730281005,"R. Jaroslau Clemente Pesch, 202 - Nova Brasília, Joinville - SC, 89213-140, Brazil",https://www.autolatinalogistica.com.br/,transportadora,Joinville,2025-05-22 13:29:06
DinoLog Logística e Transportes Ltda,554734401978,"R. dos Portugueses, 317 - Vila Nova, Joinville - SC, 89237-780, Brazil",http://dinolog.com.br/,transportadora,Joinville,2025-05-22 13:29:07
Transmagna Transportes - Joinville,554732051700,"SC-108 - Vila Nova, Joinville - SC, 89237-680, Brazil",https://www.transmagna.com.br/,transportadora,Joinville,2025-05-22 13:29:07
Arlete Transportes Joinville/SC,554734400240,"BR-101, KM 47 - Santa Catarina, Joinville - SC, Brazil",http://www.arletetransportes.com.br/,transportadora,Joinville,2025-05-22 13:29:07
Transmarques Transporte Rodoviário de Cargas Ltda.,554734251751,"Av. Mississípi, 185 - Zona Industrial Norte, Joinville - SC, 89219-507, Brazil",https://transmarques.net.br/,transportadora,Joinville,2025-05-22 13:29:08
Transportadora Ludvig - Joinville,554735339113,"BR-280, km 38 - Joinville, SC, 89245-000, Brazil",https://ludvig.com.br/,transportadora,Joinville,2025-05-22 13:29:08
JJSul Transportes Joinville,554734264444,"R. Portugal, 963 - Santa Catarina, Joinville - SC, 89233-140, Brazil",https://jjsul.com.br/,transportadora,Joinville,2025-05-22 13:29:09
Floripa Express Transportes - Motoboys e Fretes Expressos,554830281887,"R. São Vicente de Paula, 525 - Agronômica, Florianópolis - SC, 88025-330, Brazil",http://www.floripaexpress.com.br/,transportadora,Florianópolis,2025-05-22 13:28:48
transportes & mudanças souza,5548996430331,"Av. Gov. Ivo Silveira, 298 - Estreito, Florianópolis - SC, 88075-005, Brazil",http://www.transportesemudancassouza.com.br/,transportadora,Florianópolis,2025-05-22 13:28:49
A-Z LOG Fretes Mudanças e Transportes Especiais,5548999065111,"R. Padre Luiz Zuber, 55 - Capoeiras, Florianópolis - SC, 88000-000, Brazil",https://www.facebook.com/profile.php?id=100082536806974,transportadora,Florianópolis,2025-05-22 13:28:49
TVR Transportes,554830355414,"Condomínio CICOBI - R. Edgard Hoffmann, 39 - e 69 - Beira Rio, Biguaçu - SC, 88164-275, Brazil",http://www.tvrtransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:50
Canasvieiras Transportes Ltda,554832662147,"Rod. Francisco Germano da Costa, 2970 - Canasvieiras, Florianópolis - SC, 88052-760, Brazil",http://www.canasvieirastc.com.br/,transportadora,Florianópolis,2025-05-22 13:28:50
BASE FLORIPA TRANSPORTES,554830256033,"R. Heriberto Hulse, 4983 - galpão 12 - Serraria, São José - SC, 88115-000, Brazil",https://basefloripa.com.br/,transportadora,Florianópolis,2025-05-22 13:28:51
Aceville Transportes Florianópolis,554832469635,"SC-281, 2951 - GALPÃO 01 - Sertão do Maruim, São José - SC, 88122-001, Brazil",https://www.aceville.com.br/,transportadora,Florianópolis,2025-05-22 13:28:51
Cordeiro transportes (Interestaduais),5548996427236,"Av. das Rendeiras, 636 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",http://cordeirotransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:52
Frete floripa cia.costa transporte em geral,5548999472015,"Av. das Rendeiras, 1134 - Lagoa da Conceição, Florianópolis - SC, 88062-400, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:52
Floripa Encomendas,554832070551,"R. Joaquim Carneiro, 135 - Sala 02 - Capoeiras, Florianópolis - SC, 88085-120, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:52
Mudanças & Transportes Giva,5548999079840,"Servidão Antônio Irineu da Silva, 300 - Córrego Grande, Florianópolis - SC, 88037-600, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:53
Azul Cargo,5548988010325,"Av. Dep. Diomício Freitas, 3393 - Carianos, Florianópolis - SC, 88047-400, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:53
TESLLA LOGISTICA,551123893028,"R. Osaka, 1143/1145 - Jardim Japao, São Paulo - SP, 02124-041, Brazil",https://www.tesllatransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:54
frete florianopolis,5548984616747,"R. São Vicente de Paula, 560 - Agronômica, Florianópolis - SC, 88025-330, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:54
Granero Transportes - Florianópolis -SC,554832580975,"R. Padre Raulino Reitz, 213 - Areias, São José - SC, 88113-120, Brazil",https://www.granero.com.br/unidade?f=23d46886-44c7-4bba-8c8d-75f6300be950,transportadora,Florianópolis,2025-05-22 13:28:55
Exclusiva Cargas,551140034735,"Rua Carmina Ianetta Fanganiello, 177 - Parque Novo Mundo, São Paulo - SP, 02181-100, Brazil",http://www.excargas.com.br/,transportadora,Florianópolis,2025-05-22 13:28:55
Fretes Florianópolis,5548984131366,"Rod. Amaro Antônio Viêira, n:1973 - Itacorubi, Florianópolis - SC, 88034-102, Brazil",https://instagram.com/fretes_florianopolis?igshid=YmMyMTA2M2Y=,transportadora,Florianópolis,2025-05-22 13:28:56
Schmitt Fretes e Mudanças – Atendemos Grande Florianópolis e Viagens,5548984136384,"R. Palmira Laura Florêncio, 2452 - Real Parque, São José - SC, 88113-320, Brazil",https://api.whatsapp.com/send?phone=5548984136384&text=Ol%C3%A1!%20Encontrei%20voc%C3%AAs%20no%20Google%20gostaria%20de%20mais%20informa%C3%A7%C3%B5es.,transportadora,Florianópolis,2025-05-22 13:28:56
solution log transportes,554833445820,"R. Ventos do Moçambique, 115 - Brejaru, Florianópolis - SC, 88060, Brazil",,transportadora,Florianópolis,2025-05-22 13:28:57
Frete fracionado e exclusivo | DIH TRANSPORTES,551140031347,"Centro Histórico de São Paulo - R. Sd. Romeu Coco, 109 - Parque Novo Mundo, São Paulo - SP, 02186-090, Brazil",http://dihtransportes.com.br/,transportadora,Florianópolis,2025-05-22 13:28:57
Express Joinville Transportes Ltda,5547996185030,"R. Dona Francisca, 8300 - Zona Industrial Norte, Joinville - SC, 89219-600, Brazil",http://www.joinvillecargas.com.br/,transportadora,Joinville,2025-05-22 13:29:00
Transjoi Transport Operations,554740095600,"R. Anaburgo, 6708 - Distrito Industrial, Joinville - SC, 89219-630, Brazil",https://www.transjoi.com.br/,transportadora,Joinville,2025-05-22 13:29:01
Transport Transligue - Joinville branch / SC,554730862800,"Cond. Perini Business Park| - R. Dona Francisca, 8300 - Bloco G, Módulo 05 - Distrito Industrial, Joinville - SC, 89219-600, Brazil",http://www.transligue.com.br/,transportadora,Joinville,2025-05-22 13:29:01
Transportes e Serviços Super Já,554734662042,"R. Augusto Schlegel, 83 - Atiradores, Joinville - SC, 89203-260, Brazil",,transportadora,Joinville,2025-05-22 13:29:01
Coopercargo - Soluções Logísticas,554721051800,"Av. Mississípi, 371 - Zona Industrial Norte, Joinville - SC, 89219-507, Brazil",http://www.coopercargo.com.br/,transportadora,Joinville,2025-05-22 13:29:02
Transoliveira Transportadora,554734736847,"R. dos Portugueses, 1588 - Vila Nova, Joinville - SC, 89237-780, Brazil",,transportadora,Joinville,2025-05-22 13:29:02
Transville Transportes e Serviços - Joinville,554734618888,"R. Guilherme, 1392 - Costa e Silva, Joinville - SC, 89218-500, Brazil",http://www.transville.com.br/,transportadora,Joinville,2025-05-22 13:29:03
Transport company Atlas & Expresso Jundiaí,554721051400,"Av. Plácido Hugo de Oliveira, 2398 - Profipo, Joinville - SC, 89233, Brazil",,transportadora,Joinville,2025-05-22 13:29:03
Aceville Transportes,554731307350,"R. Miguel Ângelo, 113 - São Marcos, Joinville - SC, 89237-007, Brazil",http://www.aceville.com.br/,transportadora,Joinville,2025-05-22 13:29:04
Godi Transportes,5547997230205,"R. Adriano Schondermank, 673 - Costa e Silva, Joinville - SC, 89217-400, Brazil",http://goditransportes.com.br/,transportadora,Joinville,2025-05-22 13:29:04
Transportadora Minuano,554734635110,"R. Leopoldo Koentopp, 150 - São Marcos, Joinville - SC, 89214-180, Brazil",http://www.transminuano.com.br/,transportadora,Joinville,2025-05-22 13:29:05
Cameony Transportes,554734241766,"R. Othon Mader, 375 - Nova Brasília, Joinville - SC, 89213-180, Brazil",,transportadora,Joinville,2025-05-22 13:29:05
MANCHESTER Logística Integrada LTDA,554721058999,"R. Pref. Helmuth Fallgatter, 1593 - Boa Vista, Joinville - SC, 89206-100, Brazil",http://www.manchesterlog.com.br/,transportadora,Joinville,2025-05-22 13:29:06
Latin Auto Transport and Logistics,554730281005,"R. Jaroslau Clemente Pesch, 202 - Nova Brasília, Joinville - SC, 89213-140, Brazil",https://www.autolatinalogistica.com.br/,transportadora,Joinville,2025-05-22 13:29:06
DinoLog Logística e Transportes Ltda,554734401978,"R. dos Portugueses, 317 - Vila Nova, Joinville - SC, 89237-780, Brazil",http://dinolog.com.br/,transportadora,Joinville,2025-05-22 13:29:07
Transmagna Transportes - Joinville,554732051700,"SC-108 - Vila Nova, Joinville - SC, 89237-680, Brazil",https://www.transmagna.com.br/,transportadora,Joinville,2025-05-22 13:29:07
Arlete Transportes Joinville/SC,554734400240,"BR-101, KM 47 - Santa Catarina, Joinville - SC, Brazil",http://www.arletetransportes.com.br/,transportadora,Joinville,2025-05-22 13:29:07
Transmarques Transporte Rodoviário de Cargas Ltda.,554734251751,"Av. Mississípi, 185 - Zona Industrial Norte, Joinville - SC, 89219-507, Brazil",https://transmarques.net.br/,transportadora,Joinville,2025-05-22 13:29:08
Transportadora Ludvig - Joinville,554735339113,"BR-280, km 38 - Joinville, SC, 89245-000, Brazil",https://ludvig.com.br/,transportadora,Joinville,2025-05-22 13:29:08
JJSul Transportes Joinville,554734264444,"R. Portugal, 963 - Santa Catarina, Joinville - SC, 89233-140, Brazil",https://jjsul.com.br/,transportadora,Joinville,2025-05-22 13:29:09
Pesados Blumenau,554733383000,"Rua Dr. Pedro Zimmermann, 2211 - Itoupavazinha, Blumenau - SC, 89066-000, Brazil",http://www.pesadosblumenau.com.br/,transportadora,Blumenau,2025-05-22 13:29:12
Transportadora Ociani,554732326699,"R. Ari Barroso, 1002 - Itoupavazinha, Blumenau - SC, 89066-347, Brazil",http://www.ociani.com.br/,transportadora,Blumenau,2025-05-22 13:29:12
Transville Transportes e Serviços - Blumenau,554737026950,"Rua Dr. Pedro Zimmermann, 772 - Salto Norte, Blumenau - SC, 89065-000, Brazil",http://www.transville.com.br/,transportadora,Blumenau,2025-05-22 13:29:13
Mira Transportes - BLUMENAU,554721239900,"R. Ari Barroso, 1.172 - Galpão D - Itoupavazinha, Blumenau - SC, 89066-347, Brazil",http://www.mira.com.br/,transportadora,Blumenau,2025-05-22 13:29:13
Patrus Transportes - Blumenau,554733276488,"Rua Dr. Pedro Zimmermann, 1960 - Itoupavazinha, Blumenau - SC, 89068-001, Brazil",https://patrus.com.br/,transportadora,Blumenau,2025-05-22 13:29:14
Expresso JA,554733393719,"R. Frederico Jensen, 483 - Itoupavazinha, Blumenau - SC, 89066-300, Brazil",http://www.expressoja.com.br/,transportadora,Blumenau,2025-05-22 13:29:14
Expresso São Miguel - Blumenau,554733219700,"R. Bernardino José de Oliveira, 100 - Badenfurt, Blumenau - SC, 89070-270, Brazil",http://www.expressosaomiguel.com.br/,transportadora,Blumenau,2025-05-22 13:29:15
Sul Express Logística Ltda,554732222525,"R. Ari Barroso, 387 - Salto Norte, Blumenau - SC, 89065-130, Brazil",http://sulexpresslog.com.br/,transportadora,Blumenau,2025-05-22 13:29:15
Blumenau Transportes e Logística Ltda.,554733381110,"Itoupava Central, Blumenau - SC, 89068-240, Brazil",,transportadora,Blumenau,2025-05-22 13:29:16
Aceville Transportes Blumenau,554733384042,"Rua Rudolfo Walter, 66 - Itoupava Central, Blumenau - SC, 89025-140, Brazil",https://www.acevilletransportes.com/,transportadora,Blumenau,2025-05-22 13:29:16
Braspress Transportes Urgentes | Blumenau - BNU,5508007490023,"Rua Dr. Pedro Zimmermann, 1938 - Itoupavazinha, Blumenau - SC, 89066-000, Brazil",http://www.braspress.com/,transportadora,Blumenau,2025-05-22 13:29:17
Mayer Mudança Frete Transporte Carretos e Logística Serviços .,5547984743299,"R. Mara Aparecida Freitas, 68 - Fidélis, Blumenau - SC, 89060-112, Brazil",https://www.mayertransportes.com.br/,transportadora,Blumenau,2025-05-22 13:29:17
Transportadora Americana,40045055,"BR-470, 2555 - Itoupavazinha, Blumenau - SC, 89066-010, Brazil",https://www.transportadoraamericana.com.br/,transportadora,Blumenau,2025-05-22 13:29:18
Rodonaves Blumenau,554733375458,"Rua Dr. Pedro Zimmermann, 7299 - Itoupava Central, Blumenau - SC, 89068-001, Brazil",https://rodonaves.com.br/,transportadora,Blumenau,2025-05-22 13:29:18
"Manhattan Transportadora - Unidade Blumenau, Santa Catarina",5511989823257,"R. Alwin Rutzen, 88 - Itoupavazinha, Blumenau - SC, 89066-345, Brazil",https://www.manhattanlog.com.br/,transportadora,Blumenau,2025-05-22 13:29:19
Hope Transporte Fretes barato,5547996382957,"R. Guilherme Poerner - Água Verde, Blumenau - SC, 89042-327, Brazil",http://bit.ly/Fretewhats47996382957,transportadora,Blumenau,2025-05-22 13:29:19
Cwlog Transportes,554721112500,"BR-470, 3045 - Itoupavazinha, Blumenau - SC, 89066-000, Brazil",https://cwlog.net.br/,transportadora,Blumenau,2025-05-22 13:29:19
RedeSul Blumenau,554930251450,"R. Business Park, 1707 - Itoupava Central, Blumenau - SC, 89069-100, Brazil",https://www.redesullog.com.br/filiais/blumenau-sc/,transportadora,Blumenau,2025-05-22 13:29:20
Jamef Transportes,554732363000,"R. Frederico Jensen, 180 - galpão D - Itoupavazinha, Blumenau - SC, 89066-300, Brazil",http://www.jamef.com.br/,transportadora,Blumenau,2025-05-22 13:29:20
Trans SD Transportes Rodoviarios,554733804850,"Rua Dr. Pedro Zimmermann, 3255 - Itoupavazinha, Blumenau - SC, 89066-003, Brazil",https://www.transsd.log.br/,transportadora,Blumenau,2025-05-22 13:29:21
